"Division" "Year" "variable" "value" "label"
"Barisal" "2014" "AWD" 132 "Acute watery diarrhoea cases"
"Barisal" "2018" "AWD" 806 "Acute watery diarrhoea cases"
"Barisal" "2016" "AWD" 541 "Acute watery diarrhoea cases"
"Barisal" "2015" "AWD" 355 "Acute watery diarrhoea cases"
"Barisal" "2017" "AWD" 1724 "Acute watery diarrhoea cases"
"Chittagong" "2014" "AWD" 334 "Acute watery diarrhoea cases"
"Chittagong" "2015" "AWD" 628 "Acute watery diarrhoea cases"
"Chittagong" "2016" "AWD" 830 "Acute watery diarrhoea cases"
"Chittagong" "2018" "AWD" 668 "Acute watery diarrhoea cases"
"Chittagong" "2017" "AWD" 1489 "Acute watery diarrhoea cases"
"Dhaka" "2014" "AWD" 266 "Acute watery diarrhoea cases"
"Dhaka" "2016" "AWD" 1550 "Acute watery diarrhoea cases"
"Dhaka" "2015" "AWD" 545 "Acute watery diarrhoea cases"
"Dhaka" "2017" "AWD" 2450 "Acute watery diarrhoea cases"
"Dhaka" "2018" "AWD" 1190 "Acute watery diarrhoea cases"
"Khulna" "2017" "AWD" 2827 "Acute watery diarrhoea cases"
"Khulna" "2016" "AWD" 1224 "Acute watery diarrhoea cases"
"Khulna" "2014" "AWD" 65 "Acute watery diarrhoea cases"
"Khulna" "2018" "AWD" 1592 "Acute watery diarrhoea cases"
"Khulna" "2015" "AWD" 274 "Acute watery diarrhoea cases"
"Mymenshing" "2017" "AWD" 172 "Acute watery diarrhoea cases"
"Mymenshing" "2014" "AWD" 0 "Acute watery diarrhoea cases"
"Mymenshing" "2018" "AWD" 61 "Acute watery diarrhoea cases"
"Mymenshing" "2016" "AWD" 50 "Acute watery diarrhoea cases"
"Mymenshing" "2015" "AWD" 0 "Acute watery diarrhoea cases"
"Rajshahi" "2014" "AWD" 130 "Acute watery diarrhoea cases"
"Rajshahi" "2015" "AWD" 208 "Acute watery diarrhoea cases"
"Rajshahi" "2017" "AWD" 945 "Acute watery diarrhoea cases"
"Rajshahi" "2016" "AWD" 376 "Acute watery diarrhoea cases"
"Rajshahi" "2018" "AWD" 458 "Acute watery diarrhoea cases"
"Rangpur" "2015" "AWD" 305 "Acute watery diarrhoea cases"
"Rangpur" "2014" "AWD" 165 "Acute watery diarrhoea cases"
"Rangpur" "2016" "AWD" 278 "Acute watery diarrhoea cases"
"Rangpur" "2017" "AWD" 677 "Acute watery diarrhoea cases"
"Rangpur" "2018" "AWD" 290 "Acute watery diarrhoea cases"
"Sylhet" "2015" "AWD" 391 "Acute watery diarrhoea cases"
"Sylhet" "2017" "AWD" 1165 "Acute watery diarrhoea cases"
"Sylhet" "2016" "AWD" 456 "Acute watery diarrhoea cases"
"Sylhet" "2014" "AWD" 266 "Acute watery diarrhoea cases"
"Sylhet" "2018" "AWD" 471 "Acute watery diarrhoea cases"
"Barisal" "2014" "Cholera" 4 "Cholera cases"
"Barisal" "2018" "Cholera" 74 "Cholera cases"
"Barisal" "2016" "Cholera" 12 "Cholera cases"
"Barisal" "2015" "Cholera" 22 "Cholera cases"
"Barisal" "2017" "Cholera" 69 "Cholera cases"
"Chittagong" "2014" "Cholera" 77 "Cholera cases"
"Chittagong" "2015" "Cholera" 101 "Cholera cases"
"Chittagong" "2016" "Cholera" 166 "Cholera cases"
"Chittagong" "2018" "Cholera" 80 "Cholera cases"
"Chittagong" "2017" "Cholera" 148 "Cholera cases"
"Dhaka" "2014" "Cholera" 11 "Cholera cases"
"Dhaka" "2016" "Cholera" 87 "Cholera cases"
"Dhaka" "2015" "Cholera" 25 "Cholera cases"
"Dhaka" "2017" "Cholera" 180 "Cholera cases"
"Dhaka" "2018" "Cholera" 100 "Cholera cases"
"Khulna" "2017" "Cholera" 49 "Cholera cases"
"Khulna" "2016" "Cholera" 69 "Cholera cases"
"Khulna" "2014" "Cholera" 0 "Cholera cases"
"Khulna" "2018" "Cholera" 77 "Cholera cases"
"Khulna" "2015" "Cholera" 5 "Cholera cases"
"Mymenshing" "2017" "Cholera" 2 "Cholera cases"
"Mymenshing" "2014" "Cholera" 0 "Cholera cases"
"Mymenshing" "2018" "Cholera" 1 "Cholera cases"
"Mymenshing" "2016" "Cholera" 0 "Cholera cases"
"Mymenshing" "2015" "Cholera" 0 "Cholera cases"
"Rajshahi" "2014" "Cholera" 23 "Cholera cases"
"Rajshahi" "2015" "Cholera" 17 "Cholera cases"
"Rajshahi" "2017" "Cholera" 8 "Cholera cases"
