"Country"	"Year"	"Sample_number"	"N_before_subsampling"	"N_after_subsampling"	"D"	"Pval.normal"	"Pval.beta"	"pi"
"Bangladesh"	2010	"0"	32	15	-4.4578738664778	8.2776583127143e-06	0	6.77360255469255e-06
"Bangladesh"	2010	"1"	32	15	-4.4595532668201	8.21306603394741e-06	0	4.38364584930893e-06
"Bangladesh"	2010	"2"	32	15	-4.45731707520908	8.2991803178622e-06	0	7.62885600712046e-06
"Bangladesh"	2010	"3"	32	15	-4.45825867390878	8.26281529394811e-06	0	4.23047905071191e-06
"Bangladesh"	2010	"4"	32	15	-4.45576457403869	8.35947297519572e-06	0	8.73148866066434e-06
"Bangladesh"	2010	"5"	32	15	-4.46098585496352	8.15834756780004e-06	0	2.05595890157925e-06
"Bangladesh"	2010	"6"	32	15	-4.45574331125265	8.36030163194673e-06	0	8.32217355034067e-06
"Bangladesh"	2010	"7"	32	15	-4.4600839027159	8.19275733458635e-06	0	4.17071789796016e-06
"Bangladesh"	2010	"8"	32	15	-4.45795630777558	8.27447619485824e-06	0	6.96069923567931e-06
"Bangladesh"	2010	"9"	32	15	-4.45852182256154	8.25267962004739e-06	0	3.92382381633778e-06
"India"	2010	"0"	18	15	-4.45712706899072	8.3065369810193e-06	0	3.36929703382786e-06
"India"	2010	"1"	18	15	-4.45528125897097	8.37832821096906e-06	0	6.23607750724794e-06
"India"	2010	"2"	18	15	-4.45725952176011	8.30140801528093e-06	0	5.53079459782956e-06
"India"	2010	"3"	18	15	-4.45726664433098	8.30113229390557e-06	0	5.81934384138804e-06
"India"	2010	"4"	18	15	-4.45374836049752	8.43839939895864e-06	0	8.99227979611259e-06
"India"	2010	"5"	18	15	-4.45910116397272	8.23040704318617e-06	0	3.94014908625081e-06
"India"	2010	"6"	18	15	-4.45608151253272	8.34713049913793e-06	0	5.64850395373193e-06
"India"	2010	"7"	18	15	-4.45644220241277	8.33310541166286e-06	0	4.3637976117685e-06
"India"	2010	"8"	18	15	-4.4588096709429	8.24160619875504e-06	0	3.64617328347743e-06
"India"	2010	"9"	18	15	-4.45477706330075	8.39804136519209e-06	0	7.46104440868644e-06
"Bangladesh"	2011	"0"	20	15	-4.45477405392832	8.39815915928544e-06	0	1.08646581062503e-05
"Bangladesh"	2011	"1"	20	15	-4.45048974316582	8.56746857136286e-06	0	1.26338844230761e-05
"Bangladesh"	2011	"2"	20	15	-4.45490502872009	8.39303395110002e-06	0	1.08870546690335e-05
"Bangladesh"	2011	"3"	20	15	-4.45238671197094	8.49210469054453e-06	0	1.30353396035952e-05
"Bangladesh"	2011	"4"	20	15	-4.45061574623053	8.56244289370622e-06	0	1.45316587572782e-05
"Bangladesh"	2011	"5"	20	15	-4.45317934102993	8.46080270843914e-06	0	1.38414768265191e-05
"Bangladesh"	2011	"6"	20	15	-4.45319655196337	8.4601242504168e-06	0	1.20627279747485e-05
"Bangladesh"	2011	"7"	20	15	-4.45254237773594	8.48594852036296e-06	0	1.32695932040953e-05
"Bangladesh"	2011	"8"	20	15	-4.45045726624546	8.56876438192148e-06	0	1.26037541811506e-05
"Bangladesh"	2011	"9"	20	15	-4.4509319132146	8.54984486099637e-06	0	1.30356373255539e-05
"India"	2011	"0"	18	15	-4.43976029774113	9.0059128943781e-06	0	2.09754912563753e-05
"India"	2011	"1"	18	15	-4.44765517524603	8.68127421806338e-06	0	1.39204089345596e-05
"India"	2011	"2"	18	15	-4.44869817338598	8.63923169388419e-06	0	1.31302915470388e-05
"India"	2011	"3"	18	15	-4.43390594305614	9.25410116029687e-06	0	2.82509669467984e-05
"India"	2011	"4"	18	15	-4.45685514466591	8.3170761946399e-06	0	3.92425493163735e-06
"India"	2011	"5"	18	15	-4.44882269820461	8.63422520787617e-06	0	1.31088660787914e-05
"India"	2011	"6"	18	15	-4.45862911794784	8.24855034452205e-06	0	3.05198019504897e-06
"India"	2011	"7"	18	15	-4.44985517480414	8.59282143802227e-06	0	1.31841380731684e-05
"India"	2011	"8"	18	15	-4.44846762693652	8.64850807418013e-06	0	1.33901212689419e-05
"India"	2011	"9"	18	15	-4.45488388556005	8.39386110712749e-06	0	4.40966108344664e-06
"Bangladesh"	2012	"0"	18	15	-4.44925652840612	8.6168048319712e-06	0	1.74701888271751e-05
"Bangladesh"	2012	"1"	18	15	-4.45027365222675	8.57609400008497e-06	0	1.61004784789734e-05
"Bangladesh"	2012	"2"	18	15	-4.4490808796595	8.6238539260917e-06	0	1.77462842696342e-05
"Bangladesh"	2012	"3"	18	15	-4.44881138814021	8.6346798113932e-06	0	1.79080500244715e-05
"Bangladesh"	2012	"4"	18	15	-4.44934178266703	8.61338541335781e-06	0	1.7375421737641e-05
"Bangladesh"	2012	"5"	18	15	-4.447913213368	8.67085471658481e-06	0	1.86990664750086e-05
"Bangladesh"	2012	"6"	18	15	-4.45063582962178	8.56164212077815e-06	0	1.56678965395077e-05
"Bangladesh"	2012	"7"	18	15	-4.44971790875469	8.59831504372735e-06	0	1.66472315178527e-05
"Bangladesh"	2012	"8"	18	15	-4.44912693512675	8.62200510605375e-06	0	1.70649860324918e-05
"Bangladesh"	2012	"9"	18	15	-4.44919460313618	8.61928937362213e-06	0	1.71886450831762e-05
"India"	2012	"0"	40	15	-4.46204313672153	8.11818780685557e-06	0	5.15088194503344e-06
"India"	2012	"1"	40	15	-4.46091605356063	8.16100557409961e-06	0	2.7696486204558e-06
"India"	2012	"2"	40	15	-4.44580988436514	8.75613601432592e-06	0	8.14320444610111e-06
"India"	2012	"3"	40	15	-4.45696109098394	8.31296841979351e-06	0	5.5688112301504e-06
"India"	2012	"4"	40	15	-4.46097288640556	8.15884134210578e-06	0	2.826232177938e-06
"India"	2012	"5"	40	15	-4.45664993750528	8.32503805241732e-06	0	3.11589280815131e-06
"India"	2012	"6"	40	15	-4.45782168024525	8.27967323224437e-06	0	2.30528990894874e-06
"India"	2012	"7"	40	15	-4.46194425020977	8.12193588390041e-06	0	1.83765203791906e-06
"India"	2012	"8"	40	15	-4.4555521148349	8.36775649776005e-06	0	6.40799962279849e-06
"India"	2012	"9"	40	15	-4.45535961617444	8.37526855728433e-06	0	3.44276383124256e-06
"Bangladesh"	2013	"0"	19	15	-4.4565956911119	8.32714398201308e-06	0	1.15215781003132e-05
