"ID"	"Year"	"Country"	"ctxB_type"	"PLE"	"SXT"	"Source"	"Antidefence"	"Date_category"	"Reference_coverage"	"Lineage"
"29791_3_130"	2014	"Bangladesh"	"ctxB1"	"PLE1"	"None"	"Whole genome sequencing"	"CRISPR"	"Pre-2018"	87.7815924375676	"BD2"
"29791_3_249"	2015	"Bangladesh"	"ctxB1"	"PLE1"	"ICE-TET"	"Whole genome sequencing"	"CRISPR"	"Pre-2018"	87.7815924375676	NA
"29791_3_369"	2018	"Bangladesh"	"ctxB1"	"None"	"ICE-TET"	"Whole genome sequencing"	"CRISPR"	"2018"	87.7815924375676	NA
"29878_3_111"	2015	"Bangladesh"	"ctxB1"	"PLE1"	"ICE-TET"	"Whole genome sequencing"	"CRISPR"	"Pre-2018"	90.6637508034301	NA
"29878_3_221"	2018	"Bangladesh"	"ctxB7"	"None"	"ICE-GEN"	"Whole genome sequencing"	"odn"	"2018"	95.3667560237659	NA
"29878_3_267"	2018	"Bangladesh"	"None"	"None"	"None"	"Whole genome sequencing"	"CRISPR"	"2018"	88.3012745144147	NA
"29878_3_273"	2018	"Bangladesh"	"ctxB1"	"None"	"ICE-TET"	"Whole genome sequencing"	"CRISPR"	"2018"	89.5075953534308	"BD2"
"29878_3_300"	2018	"Bangladesh"	"ctxB7"	"None"	"ICE-GEN"	"Whole genome sequencing"	"odn"	"2018"	95.3667560237659	NA
"29878_3_324"	2018	"Bangladesh"	"ctxB7"	"None"	"ICE-GEN"	"Whole genome sequencing"	"odn"	"2018"	95.3667560237659	NA
"29878_3_354"	2018	"Bangladesh"	"ctxB7"	"None"	"ICE-GEN"	"Whole genome sequencing"	"CRISPR"	"2018"	89.6565238520748	"sBD1"
"29878_3_97"	2015	"Bangladesh"	"ctxB1"	"PLE1"	"ICE-TET"	"Whole genome sequencing"	"CRISPR"	"Pre-2018"	87.1788239351612	NA
"31354_3_146"	NA	"Bangladesh"	"ctxB1"	"PLE1"	"ICE-TET"	"Whole genome sequencing"	"CRISPR"	NA	89.6565238520748	NA
"31354_3_20"	NA	"Bangladesh"	"ctxB1"	"PLE1"	"ICE-TET"	"Whole genome sequencing"	"CRISPR"	NA	87.7815924375676	NA
